STATE DESCRIPTION,NAICS CODE,NAICS DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,EMPLOYMENT,"ANNUAL PAYROLL ($1,000)",YEAR
Alabama,11,"Agriculture, forestry, fishing and hunting",8:   <500,6077,189340,2008
Alabama,11,"Agriculture, forestry, fishing and hunting",9:   500+,351,19115,2008
Alabama,21,"Mining, quarrying, and oil and gas extraction",8:   <500,2928,149140,2008
Alabama,21,"Mining, quarrying, and oil and gas extraction",9:   500+,4744,327408,2008
Alabama,22,Utilities,8:   <500,1891,102295,2008
Alabama,22,Utilities,9:   500+,0,1203604,2008
Alabama,23,Construction,8:   <500,93263,3430552,2008
Alabama,23,Construction,9:   500+,19199,942594,2008
Alabama,42,Wholesale trade,8:   <500,49628,2227602,2008
Alabama,42,Wholesale trade,9:   500+,30084,1494823,2008
Alabama,51,Information,8:   <500,10757,436300,2008
Alabama,51,Information,9:   500+,27658,1371341,2008
Alabama,52,Finance and insurance,8:   <500,27093,1144063,2008
Alabama,52,Finance and insurance,9:   500+,46252,3143090,2008
Alabama,53,Real estate and rental and leasing,8:   <500,18866,581061,2008
Alabama,53,Real estate and rental and leasing,9:   500+,8296,246106,2008
Alabama,54,"Professional, scientific, and technical services",8:   <500,61304,3228483,2008
Alabama,54,"Professional, scientific, and technical services",9:   500+,34246,2201617,2008
Alabama,55,Management of companies and enterprises,8:   <500,4531,238859,2008
Alabama,55,Management of companies and enterprises,9:   500+,13601,1060866,2008
Alabama,56,Administrative and support and waste management and remediation services,8:   <500,45741,1128602,2008
Alabama,56,Administrative and support and waste management and remediation services,9:   500+,86544,1960505,2008
Alabama,61,Educational services,8:   <500,14189,307116,2008
Alabama,61,Educational services,9:   500+,13395,424874,2008
Alabama,62,Health care and social assistance,8:   <500,115656,4527733,2008
Alabama,62,Health care and social assistance,9:   500+,123594,4753714,2008
Alabama,71,"Arts, entertainment, and recreation",8:   <500,13242,234939,2008
Alabama,71,"Arts, entertainment, and recreation",9:   500+,4751,79158,2008
Alabama,72,Accommodation and food services,8:   <500,87643,1007346,2008
Alabama,72,Accommodation and food services,9:   500+,71916,891633,2008
Alabama,81,Other services (except public administration),8:   <500,71799,1412082,2008
Alabama,81,Other services (except public administration),9:   500+,10188,315382,2008
Alabama,99,Industries not classified,8:   <500,155,2493,2008
Alabama,31-33,Manufacturing,8:   <500,94975,3360886,2008
Alabama,31-33,Manufacturing,9:   500+,183633,8213256,2008
Alabama,44-45,Retail trade,8:   <500,101594,2431763,2008
Alabama,44-45,Retail trade,9:   500+,142159,2814714,2008
Alabama,48-49,Transportation and warehousing,8:   <500,24961,818360,2008
Alabama,48-49,Transportation and warehousing,9:   500+,34812,1404510,2008
Alaska,11,"Agriculture, forestry, fishing and hunting",8:   <500,552,30375,2008
Alaska,11,"Agriculture, forestry, fishing and hunting",9:   500+,0,0,2008
Alaska,21,"Mining, quarrying, and oil and gas extraction",8:   <500,1402,150651,2008
Alaska,21,"Mining, quarrying, and oil and gas extraction",9:   500+,7401,782318,2008
Alaska,22,Utilities,8:   <500,1567,121315,2008
Alaska,22,Utilities,9:   500+,0,0,2008
Alaska,23,Construction,8:   <500,13429,996093,2008
Alaska,23,Construction,9:   500+,4332,479926,2008
Alaska,42,Wholesale trade,8:   <500,4721,233837,2008
Alaska,42,Wholesale trade,9:   500+,4236,235464,2008
Alaska,51,Information,8:   <500,2481,111686,2008
Alaska,51,Information,9:   500+,4263,272659,2008
Alaska,52,Finance and insurance,8:   <500,3430,203152,2008
Alaska,52,Finance and insurance,9:   500+,4805,270286,2008
Alaska,53,Real estate and rental and leasing,8:   <500,3811,145446,2008
Alaska,53,Real estate and rental and leasing,9:   500+,0,40719,2008
Alaska,54,"Professional, scientific, and technical services",8:   <500,9408,592269,2008
Alaska,54,"Professional, scientific, and technical services",9:   500+,4044,275533,2008
Alaska,55,Management of companies and enterprises,8:   <500,1038,63153,2008
Alaska,55,Management of companies and enterprises,9:   500+,4694,524403,2008
