YEAR,STATE DESCRIPTION,STATE _CODE_x,NAICS_CODE_x,INDUSTRY,ENTERPRISE_EMPLOYMENT_SIZE_x,NUMBER_OF_FILMS_SMALL,NUMBER_OF_ESTABLISHMENTS_SMALL,EMPLOYMENT_SMALL,ANNUAL_PAYROLL _SMALL,SALARY_EMP_SMALL,STATE _CODE_y,NAICS_CODE_y,ENTERPRISE_EMPLOYMENT_SIZE_y,NUMBER_OF_FILMS_LARGE,NUMBER_OF_ESTABLISHMENTS_LARGE,EMPLOYMENT_LARGE,ANNUAL_PAYROLL _LARGE,SALARY_EMP_LARGE
2012,Alabama,AL,11,"Agriculture, forestry, fishing and hunting",08:  <500,758,762,5510,185887000.0,33736.29764,AL,11,09:  500+,12.0,23.0,518.0,26808000.0,51752.89575
2012,Alabama,AL,21,"Mining, quarrying, and oil and gas extraction",08:  <500,162,169,2962,148973000.0,50294.73329,AL,21,09:  500+,42.0,94.0,6426.0,467285000.0,72717.86492
2012,Alabama,AL,22,Utilities,08:  <500,92,122,2085,121553000.0,58298.80096,,,,,,,,
2012,Alabama,AL,23,Construction,08:  <500,7263,7300,63802,2568198000.0,40252.62531,AL,23,09:  500+,84.0,181.0,14099.0,768097000.0,54478.82829
2012,Alabama,AL,42,Wholesale trade,08:  <500,3837,4279,44173,2121872000.0,48035.4968,AL,42,09:  500+,413.0,1143.0,26948.0,1527077000.0,56667.5449
2012,Alabama,AL,51,Information,08:  <500,645,686,9137,437357000.0,47866.58641,AL,51,09:  500+,108.0,865.0,22633.0,1251209000.0,55282.50784
2012,Alabama,AL,52,Finance and insurance,08:  <500,2946,4204,25713,1212157000.0,47141.79598,AL,52,09:  500+,193.0,3153.0,45200.0,3167571000.0,70079.00442000001
2012,Alabama,AL,53,Real estate and rental and leasing,08:  <500,2782,3119,15798,557361000.0,35280.47854,AL,53,09:  500+,93.0,701.0,6891.0,266198000.0,38629.80699
2012,Alabama,AL,54,"Professional, scientific, and technical services",08:  <500,8058,8262,55962,3314400000.0,59225.903289999995,AL,54,09:  500+,222.0,876.0,34262.0,2494813000.0,72815.74339
2012,Alabama,AL,55,Management of companies and enterprises,08:  <500,263,279,4082,246447000.0,60374.08132999999,AL,55,09:  500+,189.0,330.0,15674.0,1366884000.0,87207.09455
2012,Alabama,AL,56,Administrative and support and waste management and remediation services,08:  <500,3329,3419,45047,1266406000.0,28112.9931,AL,56,09:  500+,251.0,727.0,93734.0,2393417000.0,25534.13916
2012,Alabama,AL,61,Educational services,08:  <500,745,775,13617,331865000.0,24371.37402,AL,61,09:  500+,34.0,67.0,15272.0,503426000.0,32963.98638
2012,Alabama,AL,62,Health care and social assistance,08:  <500,7822,9018,114659,4788305000.0,41761.26601,AL,62,09:  500+,172.0,1250.0,123046.0,5461444000.0,44385.38433
2012,Alabama,AL,71,"Arts, entertainment, and recreation",08:  <500,1002,1029,12056,235988000.0,19574.31984,AL,71,09:  500+,16.0,62.0,5484.0,92199000.0,16812.363240000002
2012,Alabama,AL,72,Accommodation and food services,08:  <500,5491,6305,86866,1150541000.0,13245.00955,AL,72,09:  500+,170.0,2026.0,68388.0,962312000.0,14071.35755
2012,Alabama,AL,81,Other services (except public administration),08:  <500,10085,10465,69698,1481843000.0,21260.91136,AL,81,09:  500+,101.0,528.0,9604.0,317266000.0,33034.777180000005
2012,Alabama,AL,--,Total,08:  <500,71279,78440,764207,26700121000.0,34938.33608,AL,--,09:  500+,2382.0,19498.0,821554.0,34584810000.0,42096.818960000004
2012,Alabama,AL,31-33,Manufacturing,08:  <500,3470,3553,81153,3243757000.0,39970.88216,AL,31-33,09:  500+,395.0,735.0,151357.0,7800291000.0,51535.71358
2012,Alabama,AL,44-45,Retail trade,08:  <500,10794,12343,88225,2430458000.0,27548.40465,AL,44-45,09:  500+,369.0,5887.0,134767.0,2846928000.0,21124.81542
2012,Alabama,AL,48-49,Transportation and warehousing,08:  <500,2196,2283,23600,855444000.0,36247.62712,AL,48-49,09:  500+,199.0,550.0,32994.0,1572651000.0,47664.75723
2012,Alaska,AK,11,"Agriculture, forestry, fishing and hunting",08:  <500,394,394,794,45598000.0,57428.21159,,,,,,,,
