YEAR,STATE DESCRIPTION,STATE _CODE,NAICS_CODE,INDUSTRY,ENTERPRISE_EMPLOYMENT_SIZE,NUMBER_OF_FILMS_SMALL,NUMBER_OF_ESTABLISHMENTS_SMALL,EMPLOYMENT_SMALL,ANNUAL_PAYROLL _SMALL,SALARY_EMP_SMALL
2012,Alabama,AL,11,"Agriculture, forestry, fishing and hunting",08:  <500,758,762,5510,185887000,33736.29764
2012,Alabama,AL,21,"Mining, quarrying, and oil and gas extraction",08:  <500,162,169,2962,148973000,50294.73329
2012,Alabama,AL,22,Utilities,08:  <500,92,122,2085,121553000,58298.80096
2012,Alabama,AL,23,Construction,08:  <500,7263,7300,63802,2568198000,40252.62531
2012,Alabama,AL,42,Wholesale trade,08:  <500,3837,4279,44173,2121872000,48035.4968
2012,Alabama,AL,51,Information,08:  <500,645,686,9137,437357000,47866.58641
2012,Alabama,AL,52,Finance and insurance,08:  <500,2946,4204,25713,1212157000,47141.79598
2012,Alabama,AL,53,Real estate and rental and leasing,08:  <500,2782,3119,15798,557361000,35280.47854
2012,Alabama,AL,54,"Professional, scientific, and technical services",08:  <500,8058,8262,55962,3314400000,59225.90329
2012,Alabama,AL,55,Management of companies and enterprises,08:  <500,263,279,4082,246447000,60374.08133
2012,Alabama,AL,56,Administrative and support and waste management and remediation services,08:  <500,3329,3419,45047,1266406000,28112.9931
2012,Alabama,AL,61,Educational services,08:  <500,745,775,13617,331865000,24371.37402
2012,Alabama,AL,62,Health care and social assistance,08:  <500,7822,9018,114659,4788305000,41761.26601
2012,Alabama,AL,71,"Arts, entertainment, and recreation",08:  <500,1002,1029,12056,235988000,19574.31984
2012,Alabama,AL,72,Accommodation and food services,08:  <500,5491,6305,86866,1150541000,13245.00955
2012,Alabama,AL,81,Other services (except public administration),08:  <500,10085,10465,69698,1481843000,21260.91136
2012,Alabama,AL,--,Total,08:  <500,71279,78440,764207,26700121000,34938.33608
2012,Alabama,AL,31-33,Manufacturing,08:  <500,3470,3553,81153,3243757000,39970.88216
2012,Alabama,AL,44-45,Retail trade,08:  <500,10794,12343,88225,2430458000,27548.40465
2012,Alabama,AL,48-49,Transportation and warehousing,08:  <500,2196,2283,23600,855444000,36247.62712
2012,Alaska,AK,11,"Agriculture, forestry, fishing and hunting",08:  <500,394,394,794,45598000,57428.21159
2012,Alaska,AK,21,"Mining, quarrying, and oil and gas extraction",08:  <500,126,128,2195,262297000,119497.4943
2012,Alaska,AK,22,Utilities,08:  <500,57,91,1861,163414000,87809.77969
2012,Alaska,AK,23,Construction,08:  <500,2317,2333,12210,1005366000,82339.55774
2012,Alaska,AK,42,Wholesale trade,08:  <500,448,512,4757,261282000,54925.79357
2012,Alaska,AK,51,Information,08:  <500,173,224,2419,104007000,42995.86606
2012,Alaska,AK,52,Finance and insurance,08:  <500,348,439,3339,194668000,58301.28781
2012,Alaska,AK,53,Real estate and rental and leasing,08:  <500,751,822,3544,145604000,41084.65011
2012,Alaska,AK,54,"Professional, scientific, and technical services",08:  <500,1614,1662,10200,744503000,72990.4902
2012,Alaska,AK,55,Management of companies and enterprises,08:  <500,64,71,1163,72866000,62653.48237
2012,Alaska,AK,56,Administrative and support and waste management and remediation services,08:  <500,918,959,7714,334839000,43406.66321
2012,Alaska,AK,61,Educational services,08:  <500,222,251,2613,65340000,25005.74053
2012,Alaska,AK,62,Health care and social assistance,08:  <500,1930,2145,28063,1406864000,50132.34508
2012,Alaska,AK,71,"Arts, entertainment, and recreation",08:  <500,518,535,3361,77336000,23009.81851
2012,Alaska,AK,72,Accommodation and food services,08:  <500,1750,1935,19511,409784000,21002.71642
2012,Alaska,AK,81,Other services (except public administration),08:  <500,1660,1758,9107,293952000,32277.58867
2012,Alaska,AK,--,Total,08:  <500,16063,17610,138378,6638419000,47973.08098
2012,Alaska,AK,31-33,Manufacturing,08:  <500,430,443,3990,197674000,49542.35589
2012,Alaska,AK,44-45,Retail trade,08:  <500,1762,2014,14754,489357000,33167.75112
2012,Alaska,AK,48-49,Transportation and warehousing,08:  <500,779,878,6775,363276000,53620.0738
2012,Arizona,AZ,11,"Agriculture, forestry, fishing and hunting",08:  <500,187,191,1409,38907000,27613.20085
2012,Arizona,AZ,21,"Mining, quarrying, and oil and gas extraction",08:  <500,164,173,2362,135965000,57563.5055
2012,Arizona,AZ,22,Utilities,08:  <500,135,166,2276,149707000,65776.36204
2012,Arizona,AZ,23,Construction,08:  <500,10855,10900,93419,3869803000,41424.15354
2012,Arizona,AZ,42,Wholesale trade,08:  <500,4979,5335,45923,2273716000,49511.48662
2012,Arizona,AZ,51,Information,08:  <500,1096,1140,11572,683480000,59063.25614
2012,Arizona,AZ,52,Finance and insurance,08:  <500,4553,4979,25169,1509894000,59990.22607
2012,Arizona,AZ,53,Real estate and rental and leasing,08:  <500,6320,6756,26361,1122316000,42574.86438
2012,Arizona,AZ,54,"Professional, scientific, and technical services",08:  <500,14761,15106,79061,4618579000,58417.91781
2012,Arizona,AZ,55,Management of companies and enterprises,08:  <500,335,351,6598,429838000,65146.71112
2012,Arizona,AZ,56,Administrative and support and waste management and remediation services,08:  <500,6703,6827,79803,2391192000,29963.68558
2012,Arizona,AZ,61,Educational services,08:  <500,1676,1762,29332,868236000,29600.30001
2012,Arizona,AZ,62,Health care and social assistance,08:  <500,12918,14411,147965,6344449000,42878.03873
2012,Arizona,AZ,71,"Arts, entertainment, and recreation",08:  <500,1489,1564,26318,870936000,33092.78821
2012,Arizona,AZ,72,Accommodation and food services,08:  <500,7699,8892,138104,2019562000,14623.48665
2012,Arizona,AZ,81,Other services (except public administration),08:  <500,9487,10101,71718,2068222000,28838.25539
2012,Arizona,AZ,--,Total,08:  <500,98257,105811,955194,35353143000,37011.47934
2012,Arizona,AZ,31-33,Manufacturing,08:  <500,3772,3848,63696,2669986000,41917.64004
2012,Arizona,AZ,44-45,Retail trade,08:  <500,9277,10709,81350,2493427000,30650.60848
2012,Arizona,AZ,48-49,Transportation and warehousing,08:  <500,2396,2503,22659,792603000,34979.61075
2012,Arkansas,AR,11,"Agriculture, forestry, fishing and hunting",08:  <500,609,616,4123,133515000,32382.97356
