INDUSTRY_INDEX,SECTOR,INDUSTRY,BUSINESS_CLASSIFICATION,YEAR,COLOR_GROUP,ANNUAL_PAYROLL,EMPLOYMENT,AVG_SALARY,AVG_SALARY_F
1,L11,"Agriculture, Forestry, Fishing and Hunting",Large Business,2008,2,762376000,22397,34039.201678796264,"$34,039"
18,L72,Accommodation and Food Services,Large Business,2008,2,85275290000,4920926,17329.114479673135,"$17,329"
17,S71,"Arts, Entertainment, and Recreation",Small Business,2008,1,83046873000,2650102,31337.236453540278,"$31,337"
3,S22,Utilities,Small Business,2008,1,12508522000,201434,62097.37184387939,"$62,097"
17,L71,"Arts, Entertainment, and Recreation",Large Business,2008,2,20012382000,710675,28159.681992471946,"$28,160"
4,L23,Construction,Large Business,2008,2,67543915000,1115571,60546.4959200266,"$60,546"
16,S62,Health Care and Social Assistance,Small Business,2008,1,614642774000,16421150,37429.94698909638,"$37,430"
4,S23,Construction,Small Business,2008,1,530296560000,11842638,44778.58396076955,"$44,779"
16,L62,Health Care and Social Assistance,Large Business,2008,2,399406076000,9006681,44345.53372102332,"$44,346"
5,L31-33,Manufacturing,Large Business,2008,2,383854351000,7245695,52976.88503311277,"$52,977"
15,S61,Educational Services,Small Business,2008,1,80075492000,2815597,28439.96921434424,"$28,440"
5,S31-33,Manufacturing,Small Business,2008,1,476872126000,11699901,40758.646248374236,"$40,759"
15,L61,Educational Services,Large Business,2008,2,60899245000,1699667,35830.103779152036,"$35,830"
14,S56,Administrative and Support and Waste Management and Remediation Services,Small Business,2008,1,231193982000,7528779,30708.031408545794,"$30,708"
6,L42,Wholesale Trade,Large Business,2008,2,165901247000,2470501,67152.87587416479,"$67,153"
14,L56,Administrative and Support and Waste Management and Remediation Services,Large Business,2008,2,198081661000,6449908,30710.77308389515,"$30,711"
6,S42,Wholesale Trade,Small Business,2008,1,374297472000,7388958,50656.32691375428,"$50,656"
13,S55,Management of Companies and Enterprises,Small Business,2008,1,49795766000,732113,68016.50291689944,"$68,017"
7,L44-45,Retail Trade,Large Business,2008,2,207841548000,9609617,21628.494455085984,"$21,628"
13,L55,Management of Companies and Enterprises,Large Business,2008,2,247223048000,2506430,98635.52862038836,"$98,636"
7,S44-45,Retail Trade,Small Business,2008,1,322893964000,12010280,26884.799022171006,"$26,885"
12,S54,"Professional, Scientific, and Technical Services",Small Business,2008,1,596153780000,9820982,60702.05403084946,"$60,702"
8,L48-49,Transportation and Warehousing,Large Business,2008,2,118014724000,2818285,41874.65923425062,"$41,875"
12,L54,"Professional, Scientific, and Technical Services",Large Business,2008,2,240990383000,3122356,77182.22489684072,"$77,182"
11,S53,Real Estate and Rental and Leasing,Small Business,2008,1,109868684000,2874620,38220.246154274304,"$38,220"
