STATE_DESCRIPTION,STATE_CODE,BUSINESS_CLASSIFICATION,YEAR,ANNUAL_PAYROLL,EMPLOYMENT
Alabama,AL,Large Business,2008,31664706000,855423
Hawaii,HI,Large Business,2008,8693998000,233057
West Virginia,WV,Large Business,2008,10237392000,279916
Pennsylvania,PA,Small Business,2008,184694006000,5133815
New Hampshire,NH,Large Business,2008,12834262000,285382
Hawaii,HI,Small Business,2008,19199026000,563247
Colorado,CO,Large Business,2008,50277243000,1059359
Nevada,NV,Small Business,2008,36128624000,979631
Rhode Island,RI,Large Business,2008,8535854000,188483
Idaho,ID,Large Business,2008,8275042000,221824
Washington,WA,Large Business,2008,63028472000,1160030
Nevada,NV,Large Business,2008,25231979000,661094
California,CA,Small Business,2008,589770357000,14066441
Rhode Island,RI,Small Business,2008,17389214000,483045
Nebraska,NE,Small Business,2008,24854402000,812779
Idaho,ID,Small Business,2008,18148167000,626070
South Carolina,SC,Large Business,2008,30916069000,844572
Nebraska,NE,Large Business,2008,15516424000,389821
Illinois,IL,Large Business,2008,143771033000,2860939
California,CA,Large Business,2008,359880277000,6654956
South Carolina,SC,Small Business,2008,48326554000,1619033
Montana,MT,Small Business,2008,13769949000,492133
Montana,MT,Large Business,2008,3883216000,101794
South Dakota,SD,Large Business,2008,4585679000,127003
Illinois,IL,Small Business,2008,213420520000,5204485
Arkansas,AR,Small Business,2008,28608703000,1003821
Missouri,MO,Small Business,2008,77796224000,2396003
South Dakota,SD,Small Business,2008,11811282000,415073
Colorado,CO,Small Business,2008,80424858000,2099689
Wisconsin,WI,Small Business,2008,86339574000,2587356
New Hampshire,NH,Small Business,2008,24205231000,619191
New Jersey,NJ,Large Business,2008,104636473000,1791325
North Dakota,ND,Large Business,2008,4558143000,122770
Washington,WA,Small Business,2008,103402978000,2739160
North Dakota,ND,Small Business,2008,10408989000,353550
North Carolina,NC,Small Business,2008,109696416000,3444610
Delaware,DE,Small Business,2008,13804776000,363174
District of Columbia,DC,Small Business,2008,25460482000,436187
Ohio,OH,Large Business,2008,104938233000,2453637
North Carolina,NC,Large Business,2008,77541282000,1862565
Ohio,OH,Small Business,2008,154280367000,4549082
Wyoming,WY,Large Business,2008,3630430000,72695
Florida,FL,Large Business,2008,157258546000,4206176
Delaware,DE,Large Business,2008,10409164000,204816
Louisiana,LA,Small Business,2008,61293023000,1803423
Oklahoma,OK,Large Business,2008,24597168000,604295
New York,NY,Small Business,2008,367171492000,7881467
Florida,FL,Small Business,2008,220322400000,6320113
New York,NY,Large Business,2008,256993840000,3675143
Connecticut,CT,Small Business,2008,75020056000,1559008
Oklahoma,OK,Small Business,2008,45064874000,1424940
New Mexico,NM,Small Business,2008,22269249000,705485
Georgia,GA,Large Business,2008,83711489000,1960740
Oregon,OR,Large Business,2008,29324555000,644557
New Mexico,NM,Large Business,2008,10145057000,272702
Connecticut,CT,Large Business,2008,44077200000,763421
New Jersey,NJ,Small Business,2008,161390872000,3695968
Oregon,OR,Small Business,2008,54986903000,1676220
Georgia,GA,Small Business,2008,114883481000,3307492
Pennsylvania,PA,Large Business,2008,123370631000,2663612
Indiana,IN,Large Business,2008,53900242000,1351389
Wyoming,WY,Small Business,2008,10007959000,283931
District of Columbia,DC,Large Business,2008,17267683000,244622
Iowa,IA,Large Business,2008,24047944000,636394
Kentucky,KY,Small Business,2008,45936700000,1511864
Alabama,AL,Small Business,2008,53917928000,1692560
Texas,TX,Large Business,2008,234299810000,4986734
Maine,ME,Small Business,2008,18960689000,597257
Missouri,MO,Large Business,2008,54788009000,1272612
Utah,UT,Small Business,2008,35140769000,1079980
Minnesota,MN,Large Business,2008,63516080000,1256418
Iowa,IA,Small Business,2008,41471121000,1347924
Vermont,VT,Small Business,2008,10942168000,326662
Arizona,AZ,Large Business,2008,51769475000,1228583
Maryland,MD,Large Business,2008,52324524000,1061430
Maryland,MD,Small Business,2008,93848418000,2315360
Kansas,KS,Large Business,2008,23816120000,557613
Texas,TX,Small Business,2008,320748046000,8489349
Kentucky,KY,Large Business,2008,31145316000,814663
Michigan,MI,Small Business,2008,133549596000,3735491
Alaska,AK,Small Business,2008,11233643000,261808
Michigan,MI,Large Business,2008,79266741000,1746042
Minnesota,MN,Small Business,2008,90115312000,2499470
Utah,UT,Large Business,2008,21265283000,549045
Arkansas,AR,Large Business,2008,19090185000,519130
Virginia,VA,Small Business,2008,120654600000,3089106
Mississippi,MS,Small Business,2008,26499570000,933271
Kansas,KS,Small Business,2008,40278642000,1255420
Tennessee,TN,Large Business,2008,52537958000,1373106
Louisiana,LA,Large Business,2008,30737771000,742406
